agency_id,agency_name,agency_url,agency_timezone,agency_lang
99,Altamont Corridor Express,http://www.amtrak.com,America/New_York,en
1207,null,http://www.amtrak.com,America/New_York,en
1206,null,http://www.amtrak.com,America/New_York,en
51,Amtrak,http://www.amtrak.com,America/New_York,en
174,Amtrak,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
155,Badger Bus,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
154,BC Ferries Connector,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
1220,null,http://www.amtrak.com,America/New_York,en
123,Cantrail,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
192,null,http://www.amtrak.com,America/New_York,en
1217,null,http://www.amtrak.com,America/New_York,en
117,Executive Transportation,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
153,Express Arrow,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
23,Indian Trails,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
108,Martz Trailways,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
136,Peoria Charter,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
147,RoadRunneR Shuttle,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
137,Smart Way Connector,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
138,Van Galder Coach USA,https://www.amtrak.com/thruway-connecting-services-multiply-your-travel-destinations,America/New_York,en
